frame,timestamp_sec,valid_ratio,depth_mean_mm,depth_std_mm,depth_min_mm,depth_max_mm,depth_p25_mm,depth_p75_mm
84,5.7334,0.0315,2572.0,1345.4,515,4892,1300.0,3612.0
85,5.8001,0.0315,2607.9,1345.8,515,4892,1301.0,3844.0
86,5.8667,0.0316,2621.2,1346.4,515,4892,1308.0,3847.0
87,5.9334,0.0316,2606.7,1338.8,515,4892,1540.0,3844.0
88,6.0001,0.0315,2611.8,1313.2,515,4897,1540.0,3843.0
89,6.0667,0.0305,2618.4,1342.6,515,4892,1539.0,3846.0
90,6.1334,0.0305,2615.4,1339.0,515,4900,1540.0,3844.0
91,6.2001,0.0303,2649.3,1337.6,515,4892,1540.0,3847.0
92,6.2667,0.0301,2623.3,1327.6,515,4892,1540.0,3844.0
93,6.3334,0.0299,2632.1,1324.9,515,4892,1540.0,3845.0
94,6.4001,0.03,2618.5,1330.6,515,4892,1540.0,3844.0
95,6.4667,0.03,2649.4,1331.9,515,4900,1541.0,3846.2
96,6.5334,0.0308,2647.6,1332.1,515,4892,1540.0,3846.0
97,6.6001,0.0301,2642.3,1340.0,515,4892,1540.0,3848.0
98,6.6667,0.0295,2625.0,1326.4,515,4892,1540.0,3844.0
99,6.7334,0.0291,2602.2,1333.1,515,4892,1540.0,3843.0
100,6.8001,0.0294,2612.5,1330.3,515,4892,1540.0,3846.0
101,6.8667,0.0291,2607.8,1334.3,515,4892,1540.0,3846.0
102,6.9334,0.0287,2629.6,1330.0,515,4892,1540.0,3845.0
103,7.0001,0.0293,2652.9,1336.2,515,4900,1542.0,3850.5
104,7.0667,0.0293,2625.1,1334.9,515,4892,1540.0,3845.0
105,7.1334,0.0281,2607.7,1332.1,515,4892,1540.0,3844.0
106,7.2001,0.0289,2642.7,1323.6,515,4892,1542.0,3845.0
107,7.2667,0.0293,2622.1,1331.5,515,4892,1540.0,3845.0
108,7.3334,0.0286,2645.6,1329.2,515,4892,1543.0,3847.0
109,7.4001,0.0287,2638.2,1323.6,515,4892,1542.0,3846.0
110,7.4667,0.0289,2629.1,1331.2,515,4903,1540.0,3846.0
111,7.5334,0.0288,2641.8,1317.8,515,4892,1544.0,3846.0
112,7.6001,0.029,2612.9,1335.7,515,4892,1539.0,3844.0
113,7.6667,0.0296,2613.8,1335.4,515,4892,1540.0,3845.0
114,7.7334,0.03,2609.8,1338.3,515,4892,1539.0,3846.0
115,7.8,0.0296,2612.7,1338.0,515,4892,1540.0,3845.0
116,7.8667,0.0288,2640.5,1331.4,515,4892,1542.0,3847.0
117,7.9334,0.0292,2645.8,1329.9,515,4892,1540.0,3844.0
118,8.0001,0.029,2632.1,1335.1,515,4892,1540.0,3845.0
119,8.0667,0.0301,2614.1,1329.8,515,4892,1540.0,3844.0
120,8.1334,0.0297,2600.8,1340.8,515,4892,1308.0,3844.0
121,8.2001,0.03,2602.9,1347.6,515,4897,1308.0,3845.0
122,8.2667,0.0304,2585.3,1329.8,515,4892,1540.0,3843.0
123,8.3334,0.0309,2572.6,1345.7,515,4892,1300.0,3844.0
124,8.4,0.0312,2605.5,1336.3,515,4892,1540.0,3844.0
125,8.4667,0.0312,2552.6,1341.7,515,4892,1300.0,3612.0
126,8.5334,0.031,2588.3,1335.9,515,4892,1307.0,3844.0
127,8.6001,0.0323,2541.7,1334.2,515,4892,1300.0,3604.0
128,8.6667,0.0333,2598.8,1331.2,515,4900,1308.0,3844.0
129,8.7334,0.0325,2619.3,1328.8,515,4892,1540.0,3844.0
130,8.8001,0.0308,2586.1,1331.9,515,4892,1302.0,3612.0
131,8.8667,0.0302,2618.9,1335.9,515,4892,1540.0,3845.2
132,8.9334,0.0309,2621.2,1322.7,515,4892,1540.0,3844.0
133,9.0001,0.0311,2615.3,1330.2,515,4892,1540.0,3844.0
134,9.0667,0.0307,2634.9,1327.2,515,4892,1542.0,3844.0
135,9.1334,0.0309,2636.9,1324.3,515,4892,1542.0,3846.0
136,9.2001,0.0306,2608.5,1317.0,515,4892,1540.0,3612.0
137,9.2667,0.0305,2635.9,1326.5,515,4892,1542.0,3845.0
138,9.3334,0.0302,2618.6,1331.0,515,4892,1540.0,3845.0
139,9.4001,0.03,2607.9,1333.3,515,4892,1540.0,3845.0
140,9.4667,0.0296,2646.4,1321.7,515,4892,1542.0,3845.0
141,9.5334,0.0298,2609.5,1332.1,515,4892,1540.0,3844.0
142,9.6,0.0308,2629.1,1336.4,515,4892,1540.0,3846.0
143,9.6667,0.0304,2630.9,1329.1,515,4897,1540.0,3846.0
144,9.7334,0.03,2653.3,1332.8,515,4892,1543.2,3848.0
145,9.8001,0.0296,2605.6,1337.0,515,4900,1307.0,3844.0
146,9.8667,0.03,2633.0,1339.4,515,4892,1540.0,3847.0
147,9.9334,0.0295,2622.6,1336.9,515,4892,1540.0,3846.0
148,10.0001,0.0307,2630.3,1328.2,515,4892,1541.0,3846.0
149,10.0667,0.0308,2642.3,1327.8,515,4892,1541.0,3847.0
150,10.1334,0.0313,2617.4,1334.7,515,4892,1540.0,3845.0
151,10.2001,0.0314,2653.7,1334.4,515,4892,1542.0,3847.0
152,10.2667,0.0311,2638.3,1319.6,515,4892,1541.0,3845.0
153,10.3334,0.0322,2660.5,1310.0,515,4892,1549.0,3846.0
154,10.4001,0.0314,2668.8,1324.3,515,4892,1548.0,3847.0
155,10.4667,0.0306,2721.3,1329.6,515,4892,1551.0,3856.0
156,10.5334,0.0301,2697.8,1330.0,515,4892,1550.0,3852.0
157,10.6001,0.0303,2697.4,1323.8,515,4892,1551.0,3853.0
158,10.6667,0.0304,2708.1,1332.4,515,4892,1550.0,3856.0
159,10.7334,0.0301,2693.9,1324.3,515,4892,1550.0,3848.0
160,10.8001,0.0313,2733.2,1338.2,515,4892,1551.0,3859.0
